tid: 6001  nodeid: 6
tid: 45002  nodeid: 39
tid: 50003  nodeid: 5
tid: 65004  nodeid: 15
tid: 91005  nodeid: 26
tid: 123007  nodeid: 32
tid: 151008  nodeid: 28
tid: 195009  nodeid: 44
tid: 199010  nodeid: 4
tid: 224011  nodeid: 25
tid: 267012  nodeid: 43
tid: 277013  nodeid: 10
tid: 311014  nodeid: 34
tid: 318015  nodeid: 7
tid: 343016  nodeid: 25
tid: 369017  nodeid: 26
tid: 410018  nodeid: 41
tid: 454019  nodeid: 44
tid: 487020  nodeid: 33
tid: 533021  nodeid: 46
tid: 542022  nodeid: 9
tid: 590023  nodeid: 48
